"DISTRICT_ID","DISTRICT_NAME","PROVINCE_ID"
394,"HUYỆN KỲ ANH",34
395,"THỊ XÃ HỒNG LĨNH",34
396,"HUYỆN LỆ THỦY",35
397,"HUYỆN TUYÊN HÓA",35
398,"THÀNH PHỐ ĐỒNG HỚI",35
399,"HUYỆN QUẢNG TRẠCH",35
400,"HUYỆN MINH HÓA",35
401,"HUYỆN QUẢNG NINH",35
402,"HUYỆN BỐ TRẠCH",35
403,"THỊ XÃ BA ĐỒN",35
404,"HUYỆN TRIỆU PHONG",36
405,"THÀNH PHỐ ĐÔNG HÀ",36
406,"HUYỆN HƯỚNG HÓA",36
407,"THỊ XÃ QUẢNG TRỊ",36
408,"HUYỆN CAM LỘ",36
409,"HUYỆN CỒN CỎ",36
410,"HUYỆN ĐA KRÔNG",36
411,"HUYỆN HẢI LĂNG",36
412,"HUYỆN VĨNH LINH",36
413,"HUYỆN GIO LINH",36
414,"HUYỆN PHÚ VANG",37
415,"HUYỆN PHÚ LỘC",37
416,"THỊ XÃ HƯƠNG THỦY",37
417,"HUYỆN A LƯỚI",37
418,"HUYỆN PHONG ĐIỀN",37
419,"HUYỆN QUẢNG ĐIỀN",37
420,"HUYỆN NAM ĐÔNG",37
421,"HUYỆN HƯƠNG TRÀ",37
422,"THÀNH PHỐ HUẾ",37
423,"HUYỆN PHÚ NINH",38
424,"HUYỆN PHƯỚC SƠN",38
425,"HUYỆN ĐẠI LỘC",38
426,"HUYỆN NAM GIANG",38
427,"HUYỆN THĂNG BÌNH",38
428,"THÀNH PHỐ TAM KỲ",38
429,"HUYỆN ĐÔNG GIANG",38
430,"HUYỆN BẮC TRÀ MY",38
431,"HUYỆN TÂY GIANG",38
1,"QUẬN HOÀN KIẾM",1
2,"HUYỆN BA VÌ",1
3,"HUYỆN HOÀI ĐỨC",1
4,"QUẬN HOÀNG MAI",1
5,"HUYỆN THẠCH THẤT",1
6,"HUYỆN CHƯƠNG MỸ",1
7,"HUYỆN SÓC SƠN",1
8,"HUYỆN GIA LÂM",1
9,"QUẬN HAI BÀ TRƯNG",1
10,"QUẬN TÂY HỒ",1
11,"HUYỆN MÊ LINH",1
12,"HUYỆN THANH TRÌ",1
13,"HUYỆN ỨNG HÒA",1
14,"QUẬN CẦU GIẤY",1
15,"HUYỆN PHÚC THỌ",1
16,"HUYỆN THANH OAI",1
17,"HUYỆN MỸ ĐỨC",1
18,"THỊ XÃ SƠN TÂY",1
